"filename", "language", "JSON", "HTML", "SQL", "Markdown", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Uni\Programmas\Xamp\htdocs\f1_site\.eslintrc.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Uni\Programmas\Xamp\htdocs\f1_site\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 6, 20
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1.sql", "SQL", 0, 0, 283, 0, 0, 0, 125, 62, 470
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.10.sql", "SQL", 0, 0, 434, 0, 0, 0, 143, 74, 651
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.11.sql", "SQL", 0, 0, 448, 0, 0, 0, 156, 80, 684
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.12.sql", "SQL", 0, 0, 457, 0, 0, 0, 159, 82, 698
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.2.sql", "SQL", 0, 0, 304, 0, 0, 0, 134, 68, 506
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.3.sql", "SQL", 0, 0, 349, 0, 0, 0, 134, 68, 551
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.4.sql", "SQL", 0, 0, 430, 0, 0, 0, 137, 70, 637
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.5.sql", "SQL", 0, 0, 431, 0, 0, 0, 137, 70, 638
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.6.sql", "SQL", 0, 0, 411, 0, 0, 0, 137, 70, 618
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.7.sql", "SQL", 0, 0, 427, 0, 0, 0, 143, 74, 644
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.8.sql", "SQL", 0, 0, 429, 0, 0, 0, 143, 74, 646
"d:\Uni\Programmas\Xamp\htdocs\f1_site\database_back-up_files\db_fut_f1_v1.9.sql", "SQL", 0, 0, 430, 0, 0, 0, 143, 74, 647
"d:\Uni\Programmas\Xamp\htdocs\f1_site\documents\database\drivers.sql", "SQL", 0, 0, 137, 0, 0, 0, 30, 15, 182
